昔ッコ,キャラクター,画像,解説,あらすじ,特徴
すねこたんぽこ,スネコタンポコ,1.jpg,個性を活かして行動できるタイプかも？,昔々あるところに、とても信心深い爺様と婆様がいた。二人には子どもがいなかったので、神様にお願いしたところ、婆様の脛（すね）からスネコタンポコが生まれ…,脛から生まれたスネコタンポコは、親指大の男の子。身体は小さくてもなかなかの行動派で、生まれながらの個性も生かしつつ、長者の末娘をお嫁さんにしてしまう。
米子と糠子,糠子（ぬかこ）,2.jpg,苦労の果てに幸運をつかめるタイプかも？,ある村に米子と糠子という姉妹がいた。糠子は血のつながりの無い子だったので、いつも家事をおしつけられていた。ある日、米子と糠子が栗を拾いに行くことになり…,義理の母と姉にいじわるをされながらも、周りにも助けられ、最後には幸せになる和製シンデレラ。辛いことや苦しいことにめげず、人をうらやまない、心やさしき苦労人。
蕪焼長者（蕪焼き笹四郎）,甚四郎（じんしろう）,3.jpg,周りからのサポートに恵まれるタイプかも？,昔々あるところに、とんでもない「からやき（なまけもの）」の若者がいた。ある日、村の連中が集まり、からやきの若者に嫁をさがしてやろうというはなしになって…,無類のからやきだが、何やかんや成功を収める幸運な人。お嫁さんを探してもらったり、メドツを助けたお礼に宝をもらったり、周りのサポートに恵まれている。
キツネ退治（藤五郎ギツネ）,孫助爺さん,4.jpg,知恵と工夫でみんなの問題を解決できるタイプかも？,昔々、八戸の館越山（たてこしやま）に、人をだますキツネの「藤五郎（とうごろう）」が住んでいた。困った村人の話を聞いた孫助爺さんは、こらしめるために…,みんなに悪さをするキツネを捕まえることができた人。問題を解決する知恵と工夫、計画を実行する力だけでなく、本気で謝るキツネを許してあげるやさしさも持っている。
カブの穴の酒,娘さん,5.jpg,さりげない気遣いができるタイプかも？,昔々、ある村人がお宮で雨宿りをしていた時、神様たちの話を聞いた。その内容通り、長者の息子と百姓の娘が結婚したが、長続きせず、娘は家を出されてしまい…,生まれながらに幸運を与えられた娘。結婚は長続きしないし、他人に迷惑をかけてしまうこともあったが、最終的には幸運をつかみ、別れた夫にもさりげない気遣いを見せた。
からやきの話,からやき,6.jpg,"ものごとをあるがままに受け入れるタイプ？かも",昔々あるところに、とんでもない「からやき（なまけもの）」がいた。ある日、からやきが外に出たところ、おいしそうな柿がたくさん実っていたが…,手を動かすのも面倒だという、とてつもない「からやき」の男。とにかく自分では一切動かないというのもなかなかできないことなので、ある意味ですごい人物？
サルとカニの話,カニ,7.jpg,助けてくれる仲間にめぐまれるタイプ？かも,昔々あるところに、働き者のカニがいた。秋の稲刈りが終わったころ、カニは落ち穂を集めてもちを作ることにした。サルが手伝いにやってきて…,サルにいじわるをされて泣かされても、すぐにやってきて話を聞いてくれたり、いっしょに怒ってくれたりする仲間がいる。仲間といっしょなら、仕返しするのもこわくない！
おぼさりたいタンコロリン（ピカピカの化物）,三太郎,8.jpg,ここ一番で強さを見せられるタイプかも？,ある村に、一太郎・二太郎・三太郎という兄弟がいた。秋、畑のアワの穂が毎夜盗まれるので、兄弟は代わる代わる畑の見回りをすることにしたが…,３人兄弟の末っ子。実は兄弟の中でも力持ち。化物のことはこわいながらも、ここぞという場面で逃げ出さない強さを見せ、幸運をつかむことができた。
ネズミと爺様,爺様ネズミ穴に入った爺様,9.jpg,より良いアドバイスをもらえるタイプかも？,昔々あるところに、爺様と婆様がいた。ある日、婆様がこしらえたソバもちをネズミ穴に落としてしまい、爺様も穴に落ちてしまった。すると、穴の中で…,働き者のやさしい爺様。落としたソバもちを探してネズミ穴をほる内に、自分も落ちてしまうものの、その先で出会ったお地蔵様のアドバイスを受けて幸運をつかむ。
サルと地蔵様,サルに運ばれた爺様,10.jpg,広い心でみんなを見守ってくれるタイプかも？,昔々あるところに、働き者の爺様と婆様がいた。婆様がこしらえたソバもちを持って、爺様は山の畑へ働きに出た。仕事を一休みしていると、山からサルたちが…,心やさしい働き者の爺様。サルたちが集まってきてソバもちを食べられても、地蔵様とまちがえられて担がれても、怒りもしないで成り行きを見守っている。
かくれ里の話,あねさま,11.jpg,ふしぎな魅力（みりょく）を持っているタイプかも？,昔々あるところに、与五作という大百姓がいた。大きな畑の深い森の片隅に、少しだけソバを育てていた。秋が来て、与五作は一人でソバを刈りに出かけたが…,どこからともなく現れ、仕事を手伝ってくれた美しいあねさま。どこから来たのか、だれなのか、名前も分からないのに、人を引き付けるふしぎな魅力を持っている。
蕪焼長者、メドツの約束、左甚五郎とメドツ など,めどっち,12.jpg,実はいいところもある、にくめないタイプかも？,八戸のかっぱは「メドツ（メドチ）」と呼ばれ、青色で、頭にくぼみ（皿）があり、相撲とキュウリと尻子玉が大好き。人間に害を与える一方、福をもたらすことも。,平成28年度夏季特別展「かっぱ展」で生まれた博物館オリジナルキャラクター。八戸のかっぱ「メドツ」を知ってもらうべく、ふしぎな話のPR活動にいそしんでいる。